[2024-12-18 15:46:26,428] INFO [Controller id=1 epoch=9] Changed partition connect-status-3 from OfflinePartition to OnlinePartition with state LeaderAndIsr(leader=0, leaderEpoch=10, isrWithBrokerEpoch=List(BrokerState(brokerId=0, brokerEpoch=-1)), leaderRecoveryState=RECOVERED, partitionEpoch=10) (state.change.logger)
[2024-12-18 15:46:26,428] INFO [Controller id=1 epoch=9] Changed partition __consumer_offsets-42 from OfflinePartition to OnlinePartition with state LeaderAndIsr(leader=0, leaderEpoch=10, isrWithBrokerEpoch=List(BrokerState(brokerId=0, brokerEpoch=-1)), leaderRecoveryState=RECOVERED, partitionEpoch=10) (state.change.logger)
[2024-12-18 15:46:26,428] INFO [Controller id=1 epoch=9] Changed partition __consumer_offsets-3 from OfflinePartition to OnlinePartition with state LeaderAndIsr(leader=0, leaderEpoch=10, isrWithBrokerEpoch=List(BrokerState(brokerId=0, brokerEpoch=-1)), leaderRecoveryState=RECOVERED, partitionEpoch=10) (state.change.logger)
[2024-12-18 15:46:26,428] INFO [Controller id=1 epoch=9] Changed partition __consumer_offsets-18 from OfflinePartition to OnlinePartition with state LeaderAndIsr(leader=0, leaderEpoch=10, isrWithBrokerEpoch=List(BrokerState(brokerId=0, brokerEpoch=-1)), leaderRecoveryState=RECOVERED, partitionEpoch=10) (state.change.logger)
[2024-12-18 15:46:26,428] INFO [Controller id=1 epoch=9] Changed partition connect-offsets-17 from OfflinePartition to OnlinePartition with state LeaderAndIsr(leader=0, leaderEpoch=10, isrWithBrokerEpoch=List(BrokerState(brokerId=0, brokerEpoch=-1)), leaderRecoveryState=RECOVERED, partitionEpoch=10) (state.change.logger)
[2024-12-18 15:46:26,428] INFO [Controller id=1 epoch=9] Changed partition __consumer_offsets-37 from OfflinePartition to OnlinePartition with state LeaderAndIsr(leader=0, leaderEpoch=10, isrWithBrokerEpoch=List(BrokerState(brokerId=0, brokerEpoch=-1)), leaderRecoveryState=RECOVERED, partitionEpoch=10) (state.change.logger)
[2024-12-18 15:46:26,428] INFO [Controller id=1 epoch=9] Changed partition connect-offsets-10 from OfflinePartition to OnlinePartition with state LeaderAndIsr(leader=0, leaderEpoch=10, isrWithBrokerEpoch=List(BrokerState(brokerId=0, brokerEpoch=-1)), leaderRecoveryState=RECOVERED, partitionEpoch=10) (state.change.logger)
[2024-12-18 15:46:26,428] INFO [Controller id=1 epoch=9] Changed partition __consumer_offsets-15 from OfflinePartition to OnlinePartition with state LeaderAndIsr(leader=0, leaderEpoch=10, isrWithBrokerEpoch=List(BrokerState(brokerId=0, brokerEpoch=-1)), leaderRecoveryState=RECOVERED, partitionEpoch=10) (state.change.logger)
[2024-12-18 15:46:26,428] INFO [Controller id=1 epoch=9] Changed partition __consumer_offsets-24 from OfflinePartition to OnlinePartition with state LeaderAndIsr(leader=0, leaderEpoch=10, isrWithBrokerEpoch=List(BrokerState(brokerId=0, brokerEpoch=-1)), leaderRecoveryState=RECOVERED, partitionEpoch=10) (state.change.logger)
[2024-12-18 15:46:26,429] INFO [Controller id=1 epoch=9] Changed partition connect-offsets-2 from OfflinePartition to OnlinePartition with state LeaderAndIsr(leader=0, leaderEpoch=10, isrWithBrokerEpoch=List(BrokerState(brokerId=0, brokerEpoch=-1)), leaderRecoveryState=RECOVERED, partitionEpoch=10) (state.change.logger)
[2024-12-18 15:46:26,429] INFO [Controller id=1 epoch=9] Changed partition connect-offsets-18 from OfflinePartition to OnlinePartition with state LeaderAndIsr(leader=0, leaderEpoch=10, isrWithBrokerEpoch=List(BrokerState(brokerId=0, brokerEpoch=-1)), leaderRecoveryState=RECOVERED, partitionEpoch=10) (state.change.logger)
[2024-12-18 15:46:26,429] INFO [Controller id=1 epoch=9] Changed partition connect-offsets-23 from OfflinePartition to OnlinePartition with state LeaderAndIsr(leader=0, leaderEpoch=10, isrWithBrokerEpoch=List(BrokerState(brokerId=0, brokerEpoch=-1)), leaderRecoveryState=RECOVERED, partitionEpoch=10) (state.change.logger)
[2024-12-18 15:46:26,429] INFO [Controller id=1 epoch=9] Changed partition connect-status-2 from OfflinePartition to OnlinePartition with state LeaderAndIsr(leader=0, leaderEpoch=10, isrWithBrokerEpoch=List(BrokerState(brokerId=0, brokerEpoch=-1)), leaderRecoveryState=RECOVERED, partitionEpoch=10) (state.change.logger)
[2024-12-18 15:46:26,429] INFO [Controller id=1 epoch=9] Changed partition __consumer_offsets-38 from OfflinePartition to OnlinePartition with state LeaderAndIsr(leader=0, leaderEpoch=10, isrWithBrokerEpoch=List(BrokerState(brokerId=0, brokerEpoch=-1)), leaderRecoveryState=RECOVERED, partitionEpoch=10) (state.change.logger)
[2024-12-18 15:46:26,429] INFO [Controller id=1 epoch=9] Changed partition __consumer_offsets-17 from OfflinePartition to OnlinePartition with state LeaderAndIsr(leader=0, leaderEpoch=10, isrWithBrokerEpoch=List(BrokerState(brokerId=0, brokerEpoch=-1)), leaderRecoveryState=RECOVERED, partitionEpoch=10) (state.change.logger)
[2024-12-18 15:46:26,429] INFO [Controller id=1 epoch=9] Changed partition __consumer_offsets-48 from OfflinePartition to OnlinePartition with state LeaderAndIsr(leader=0, leaderEpoch=10, isrWithBrokerEpoch=List(BrokerState(brokerId=0, brokerEpoch=-1)), leaderRecoveryState=RECOVERED, partitionEpoch=10) (state.change.logger)
